# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Jul 14 20:12:48 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00015547 -2.00000 9.00000 0.0936335474 1.1156111859    0.094 -3.027  3.5161  5.453    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.31e-17      0.00 7.506e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.338 15.906 15.169 14.134 13.450 13.070 11.736 11.568
0.00015547 -2.00000 9.00000 0.0982779637 1.1565584909    0.098 -2.907  3.5327  5.420    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.74e-17      0.00 7.505e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.038 15.274 14.598 13.612 12.963 12.587 11.435 11.284
0.00015547 -2.00000 9.00000 0.0992222056 1.1645761801    0.099 -2.883  3.5363  5.414    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.505e-01 2.493e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.977 15.142 14.479 13.508 12.864 12.488 11.373 11.225
0.00015547 -2.00000 9.00000 0.1024727523 1.1914362916    0.102 -2.790  3.5492  5.387    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-16      0.00 7.504e-01 2.494e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.746 14.661 14.041 13.127 12.502 12.130 11.139 11.003
0.00015547 -2.00000 9.00000 0.1035686582 1.2002434792    0.103 -2.760  3.5536  5.378    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.39e-16      0.00 7.504e-01 2.495e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.669 14.505 13.897 13.004 12.385 12.016 11.060 10.928
0.00015547 -2.00000 9.00000 0.1037109271 1.2013779286    0.103 -2.757  3.5538  5.377    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.4e-16      0.00 7.504e-01 2.495e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 11.664 14.495 13.888 12.996 12.378 12.009 11.055 10.922
0.00015547 -2.00000 9.00000 0.1234388798 1.3415665689    0.123 -2.485  3.5815  5.292    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.65e-16      0.00 7.501e-01 2.497e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.983 13.343 12.810 12.046 11.486 11.140 10.364 10.252
0.00015547 -2.00000 9.00000 0.1433091164 1.4560319688    0.143 -2.315  3.5949  5.240    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.86e-16      0.00 7.499e-01 2.499e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.557 12.718 12.214 11.506 10.986 10.657 9.934 9.829
0.00015547 -2.00000 9.00000 0.1480150372 1.4801426999    0.148 -2.283  3.5971  5.231    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.13e-16      0.00 7.499e-01 2.499e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.478 12.607 12.108 11.408 10.895 10.569 9.853 9.749
0.00015547 -2.00000 9.00000 0.1631793380 1.5515256229    0.163 -2.187  3.6037  5.203    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.07e-16      0.00 7.498e-01 2.501e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 10.237 12.276 11.791 11.115 10.622 10.304 9.609 9.508
0.00015547 -2.00000 9.00000 0.2029198259 1.7036916472    0.203 -1.989  3.6158  5.149    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.63e-16      0.00 7.495e-01 2.504e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 9.743 11.627 11.164 10.530 10.071 9.768 9.109 9.013
0.00015547 -2.00000 9.00000 0.2525953948 1.8468695073    0.252 -1.800  3.6267  5.099    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-15      0.00 7.492e-01 2.506e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 9.270 11.022 10.579 9.977 9.548 9.259 8.629 8.539
0.00015547 -2.00000 9.00000 0.3022710085 1.9574397077    0.302 -1.646  3.6355  5.058    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-15      0.00 7.491e-01 2.508e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 8.885 10.537 10.108 9.531 9.125 8.847 8.239 8.153
0.00015547 -2.00000 9.00000 0.3519465327 2.0465963009    0.352 -1.513  3.6432  5.022    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1    -2e-15      0.00 7.490e-01 2.508e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 8.553 10.121 9.705 9.148 8.761 8.492 7.904 7.820
0.00015547 -2.00000 9.00000 0.3677437901 2.0715764688    0.368 -1.470  3.6459  5.009    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.2e-15      0.00 7.497e-01 2.502e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 8.444 9.985 9.573 9.023 8.641 8.375 7.794 7.712
0.00015547 -2.00000 9.00000 0.4016221166 2.1207314881    0.401 -1.380  3.6512  4.979    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.68e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.220 9.707 9.304 8.767 8.397 8.137 7.568 7.488
0.00015547 -2.00000 9.00000 0.4031156898 2.1227735799    0.403 -1.376  3.6516  4.977    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.209 9.692 9.289 8.754 8.385 8.125 7.557 7.477
0.00015547 -2.00000 9.00000 0.4512977004 2.1838121607    0.451 -1.241  3.6639  4.941    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.63e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 7.873 9.238 8.856 8.349 8.005 7.759 7.218 7.144
0.00015547 -2.00000 9.00000 0.5009732842 2.2384552293    0.501 -1.088  3.6794  4.896    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-15      0.00 7.508e-01 2.491e-01 2.942e-05 7.938e-06 7.200e-05 -1.000 1.625e-04 7.491 8.716 8.360 7.888 7.574 7.344 6.836 6.767
0.00015547 -2.00000 9.00000 0.5506489277 2.2841947944    0.550 -0.928  3.6957  4.841    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.58e-15      0.00 7.537e-01 2.462e-01 2.911e-05 7.853e-06 7.123e-05 -1.000 1.331e-04 7.089 8.183 7.857 7.419 7.131 6.916 6.441 6.378
0.00015547 -2.00000 9.00000 0.6003244519 2.3213410765    0.600 -0.763  3.7156  4.794    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-14      0.00 7.547e-01 2.451e-01 2.899e-05 7.823e-06 7.096e-05 -1.000 1.637e-04 6.679 7.630 7.342 6.944 6.684 6.487 6.048 5.991
